itemName,Measure,Value
Bacon,pc_mean,13.70344459
Baked Beans,pc_mean,57.15668347
Eggs new,pc_mean,51.53863332
Mushrooms,pc_mean,18.29302664
Sausage,pc_mean,24.4256909
Tea,pc_mean,4.894434287
Tomatoes,pc_mean,32.14776053
White Bread,pc_mean,19.03780866
Bacon,pc_75,20.86693548
Baked Beans,pc_75,60
Eggs new,pc_75,60.78431373
Mushrooms,pc_75,14.28571429
Sausage,pc_75,17.74834437
Tea,pc_75,19.8
Tomatoes,pc_75,50.18867925
White Bread,pc_75,31.81818182
Bacon,pc_25,5.056179775
Baked Beans,pc_25,56.25
Eggs new,pc_25,32.02247191
Mushrooms,pc_25,11.11111111
Sausage,pc_25,18.5483871
Tea,pc_25,-4.166666667
Tomatoes,pc_25,17.1875
White Bread,pc_25,15
