State,Co2 per cap,RN,,,,,,,,,,,,,,,,,
AK,47.17,28.14818884,,,,,,,,,,,,,,,,,
AL,25.05,9.176393972,,,,,,,,,,,,,,,,,
AR,23.13,7.257540639,,,,,,,,,,,,,,,,,
AZ,13.79,11.82321051,,,,,,,,,,,,,,,,,
CA,9.26,47.00883042,,,,,,,,,,,,,,,,,
CO,16.95,22.90363744,,,,,,,,,,,,,,,,,
CT,9.77,3.405835096,,,,,,,,,,,,,,,,,
DC,4.55,70.53431233,,,,,,,,,,,,,,,,,
DE,14.24,1.575045064,,,,,,,,,,,,,,,,,
FL,11.41,2.560224826,,,,,,,,,,,,,,,,,
GA,13.76,7.386398185,,,,,,,,,,,,,,,,,
HI,12.82,14.14967419,,,,,,,,,,,,,,,,,
IA,26.78,39.06311265,,,,,,,,,,,,,,,,,
ID,10.18,81.76734523,,,,,,,,,,,,,,,,,
IL,18.12,7.036870991,,,,,,,,,,,,,,,,,
IN,30.81,6.213038824,,,,,,,,,,,,,,,,,
KS,23.97,36.69453082,,,,,,,,,,,,,,,,,
KY,31.19,6.860683465,,,,,,,,,,,,,,,,,
LA,44.5,3.732411352,,,,,,,,,,,,,,,,,
MA,9.49,9.995582861,,,,,,,,,,,,,,,,,
MD,10.38,9.76474369,,,,,,,,,,,,,,,,,
ME,12.52,74.84359409,,,,,,,,,,,,,,,,,
MI,16.31,8.394049617,,,,,,,,,,,,,,,,,
MN,17.24,25.40318292,,,,,,,,,,,,,,,,,
MO,21.66,4.035476799,,,,,,,,,,,,,,,,,
MS,21.28,2.616830463,,,,,,,,,,,,,,,,,
MT,31.51,46.54733757,,,,,,,,,,,,,,,,,
NC,12.64,9.508297689,,,,,,,,,,,,,,,,,
ND,74.81,33.5942926,,,,,,,,,,,,,,,,,
NE,27.51,18.88239726,,,,,,,,,,,,,,,,,
NH,11.25,19.68936955,,,,,,,,,,,,,,,,,
NJ,12.78,2.499657841,,,,,,,,,,,,,,,,,
NM,24.07,17.89129419,,,,,,,,,,,,,,,,,
NV,13.02,25.31193315,,,,,,,,,,,,,,,,,
NY,8.61,28.70500465,,,,,,,,,,,,,,,,,
OH,19.75,2.233186552,,,,,,,,,,,,,,,,,
OK,26.92,35.21739795,,,,,,,,,,,,,,,,,
OR,9.56,73.1412588,,,,,,,,,,,,,,,,,
PA,18.94,4.31742878,,,,,,,,,,,,,,,,,
RI,10.08,4.837082782,,,,,,,,,,,,,,,,,
SC,15.39,4.634961836,,,,,,,,,,,,,,,,,
SD,17.91,75.12883241,,,,,,,,,,,,,,,,,
TN,15.69,12.36552203,,,,,,,,,,,,,,,,,
TX,26.29,15.87676229,,,,,,,,,,,,,,,,,
UT,21.9,13.15536543,,,,,,,,,,,,,,,,,
VA,12.42,5.793652043,,,,,,,,,,,,,,,,,
VT,9.38,99.58251377,,,,,,,,,,,,,,,,,
WA,10.4,78.51387843,,,,,,,,,,,,,,,,,
WI,17.47,8.876559266,,,,,,,,,,,,,,,,,
WV,52.47,4.554206628,,,,,,,,,,,,,,,,,
WY,111.55,11.64754811,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
