DateOriginal,Share or VRE,Wholesale Price,Demand,Entity,Date
Jan-19,11.10108853,40,20.931614,USA_CASIO,2019-01-01
Feb-19,16.31836831,70.9,18.475922,USA_CASIO,2019-02-01
Mar-19,20.81104397,36,18.225251,USA_CASIO,2019-03-01
Apr-19,24.36337801,23.5,19.499562,USA_CASIO,2019-04-01
May-19,25.26122143,18.5,20.402327,USA_CASIO,2019-05-01
Jun-19,23.83688614,23.1,23.137825,USA_CASIO,2019-06-01
Jul-19,21.2081624,31.5,26.779562,USA_CASIO,2019-07-01
Aug-19,18.78192546,32.8,27.88918,USA_CASIO,2019-08-01
Sep-19,18.30278972,36.1,25.185188,USA_CASIO,2019-09-01
Oct-19,19.4558192,34.2,21.609252,USA_CASIO,2019-10-01
Nov-19,11.20777033,42,20.383064,USA_CASIO,2019-11-01
Dec-19,8.999659553,40.2,21.836026,USA_CASIO,2019-12-01
Jan-20,13.33915546,31.2,21.102243,USA_CASIO,2020-01-01
Feb-20,15.95960817,25.7,19.413528,USA_CASIO,2020-02-01
Mar-20,17.36991872,25,19.9925,USA_CASIO,2020-03-01
Apr-20,24.34077259,18.5,18.500103,USA_CASIO,2020-04-01
May-20,25.64730527,17.3,21.198383,USA_CASIO,2020-05-01
Jun-20,23.64892256,22.6,23.096511,USA_CASIO,2020-06-01
Jan-19,22,24,29.9,USA_ERCOT,2019-01-01
Feb-19,24,21,26.18,USA_ERCOT,2019-02-01
Mar-19,23,28,27.79,USA_ERCOT,2019-03-01
Apr-19,28,23,26.82,USA_ERCOT,2019-04-01
May-19,23,24,32.16,USA_ERCOT,2019-05-01
Jun-19,18,25,35.02,USA_ERCOT,2019-06-01
Jul-19,17,30,39.08,USA_ERCOT,2019-07-01
Aug-19,16,127,41.63,USA_ERCOT,2019-08-01
Sep-19,17,80,37.14,USA_ERCOT,2019-09-01
Oct-19,24,28,30.58,USA_ERCOT,2019-10-01
Nov-19,24,24,27.58,USA_ERCOT,2019-11-01
Dec-19,24,19,29.2,USA_ERCOT,2019-12-01
Jan-20,27,17,28.92,USA_ERCOT,2020-01-01
Feb-20,27,18,27.9,USA_ERCOT,2020-02-01
Mar-20,28,23,28.03,USA_ERCOT,2020-03-01
Apr-20,30,20,26.78,USA_ERCOT,2020-04-01
May-20,28,18,31.08,USA_ERCOT,2020-05-01
Jun-20,28,29,35.26,USA_ERCOT,2020-06-01
