Year,Source,Jobs
2021,Solar,333887
2021,Wind,120164
2021,Biomass,80587
2020,Solar,316675
2020,Wind,116817
2020,Biomass,77182
2019,Solar,345393
2019,Wind,114774
2019,Biomass,81249
2018,Solar,334992
2018,Wind,111166
2018,Biomass,78944
2017,Solar,350291
2017,Wind,107444
2017,Biomass,76603
2025,Biomass,84135
2030,Biomass,102666
2035,Biomass,169933
2040,Biomass,238222
2045,Biomass,297448
2050,Biomass,376673
2025,Coal,70411
2030,Coal,19426
2035,Coal,10921
2040,Coal,9514
2045,Coal,8525
2050,Coal,7486
2025,Natural Gas,549721
2030,Natural Gas,413742
2035,Natural Gas,308646
2040,Natural Gas,265702
2045,Natural Gas,210383
2050,Natural Gas,156961
2025,Nuclear,49017
2030,Nuclear,46211
2035,Nuclear,41204
2040,Nuclear,35097
2045,Nuclear,30602
2050,Nuclear,43416
2025,Solar,370685
2030,Solar,518991
2035,Solar,531229
2040,Solar,533475
2045,Solar,644974
2050,Solar,1015373
2025,Wind,230053
2030,Wind,400430
2035,Wind,473816
2040,Wind,483999
2045,Wind,615983
2050,Wind,825137
